"","State","Rent Estimate","Income"
"1","Alabama",747,47221
"2","Alaska",1200,75723
"3","Arizona",972,57100
"4","Arkansas",709,45907
"5","California",1358,66637
"6","Colorado",1125,70566
"7","Connecticut",1123,75923
"8","Delaware",1076,58046
"9","District of Columbia",1424,70982
"10","Florida",1077,51176
"11","Georgia",927,53527
"12","Hawaii",1507,72133
"13","Idaho",792,56564
"14","Illinois",952,61386
"15","Indiana",782,56094
"16","Iowa",740,56247
"17","Kansas",801,56810
"18","Kentucky",713,45369
"19","Louisiana",825,42196
"20","Maine",808,50856
"21","Maryland",1311,73760
"22","Massachusetts",1173,72266
"23","Michigan",824,57091
"24","Minnesota",906,70218
"25","Mississippi",740,41099
"26","Missouri",784,55016
"27","Montana",751,57075
"28","Nebraska",773,59374
"29","Nevada",1017,55431
"30","New Hampshire",1052,76260
"31","New Jersey",1249,68468
"32","New Mexico",809,48451
"33","New York",1194,61437
"34","North Carolina",844,53764
"35","North Dakota",775,60184
"36","Ohio",764,53985
"37","Oklahoma",766,50943
"38","Oregon",988,59135
"39","Pennsylvania",885,60979
"40","Rhode Island",957,61528
"41","South Carolina",836,65336
"42","South Dakota",696,57450
"43","Tennessee",808,51344
"44","Texas",952,58146
"45","Utah",948,67481
"46","Vermont",945,60837
"47","Virginia",1166,66451
"48","Washington",1120,70310
"49","West Virginia",681,44354
"50","Wisconsin",813,59817
"51","Wyoming",828,57829
